ehr,1,1,0,0,1,0,1
waves,0,1,1,0,0,1,1
thermal,0,0,0,1,1,1,1
time_min,,,,,,,
10,0.031764132089106965,0.04318459208351391,0.02514363856566037,0.026295495820564643,0.025574072541836725,0.02280102168384922,0.044308126426982085
20,0.0335540268669462,0.03615709342898913,0.030547739337402364,0.030889799202276517,0.030167576527636523,0.02476679639779713,0.04051109219247431
30,0.03646466900607317,0.03616078662747707,0.02981322503973261,0.03074451727814777,0.027234300381770885,0.025682948472297167,0.03637377086392208
60,0.03444684592457948,0.037599084816573106,0.037119722125594085,0.022654437529169853,0.02505178321262994,0.027757049926478528,0.0322509628747093
90,0.03615903726468821,0.03863664450607832,0.022304566372537967,0.021265367764948608,0.024766228814146175,0.025925095474619703,0.0253135807736628
120,0.03628167640368225,0.03822790541606744,0.034436234210989417,0.020030397518723195,0.0240842446290751,0.017917850539943325,0.021469636820095728
150,0.033015772799641664,0.036917516081639505,0.03396231188600036,0.019054289363979564,0.022556497145046782,0.01453732970641763,0.024032242536061985
180,0.030660731496619808,0.039100109501973304,0.026828418415717228,0.019292928606200344,0.023802733277512877,0.013443649754709398,0.02518385947510063
