pseudonym,Our,Vanilla VAE
260121025,0.44631185807656387,0.5258770174736561
170221041,0.6554621848739497,0.26707349606509273
90321052,0.638655462184874,0.38673469387755105
210321059,0.8524743230625583,0.7524009603841536
110421069,0.8590102707749766,0.7109710550887022
120421070,0.7768440709617179,0.7633653461384554
140721114,0.8711484593837536,0.8833533413365348
220721117,0.9028944911297854,0.7790182739762573
141021143,0.5555555555555556,0.5874416433239963
170222196,0.8692810457516339,0.8574696545284779
230222202,0.9477124183006536,0.908496732026144
250521091,0.8860877684407098,0.9287381619314392
mean,0.7717864923747276,0.6959116980125383
