time_min,Our,Vanilla VAE
10,0.044308126426982085,0.037617066631145966
20,0.04051109219247431,0.03815725327686584
30,0.03637377086392208,0.039739996393325955
60,0.0322509628747093,0.0386230446228114
90,0.0253135807736628,0.032747002668429684
120,0.021469636820095728,0.0340805798990601
150,0.024032242536061985,0.037932050268259083
180,0.02518385947510063,0.041508924967033976
